id,idRace,nom,slug,data,ciutat,provincia,pais,email,telefon,descripcio,data_final,latitude,longitude,reglament,num_fitxers,showRankings,active_photos,externalInscriptions,event_id,distancia,participantes_totales,participantes_hombres,participantes_mujeres,participantes_sin_especificar
5d3acf92-6f08-4a5a-8593-016fac1f0671,860000200008,III PODOACTIVA MEDIEVAL TRAIL MONTEARAGON,iii-podoactiva-medieval-trail-montearagn,2019-09-14,Quicena,Huesca,España,contacto@sportevento.com,657555740,,2019-09-14,42.1485169,-0.360354899999,,3.0,True,False,,5d3acf93-0754-4f56-9579-016fac1f0671,TRAIL 21K,54.0,49.0,5.0,0.0
5d3acf92-6f08-4a5a-8593-016fac1f0671,860000200008,III PODOACTIVA MEDIEVAL TRAIL MONTEARAGON,iii-podoactiva-medieval-trail-montearagn,2019-09-14,Quicena,Huesca,España,contacto@sportevento.com,657555740,,2019-09-14,42.1485169,-0.360354899999,,3.0,True,False,,5d3acfe5-c1c4-4ffb-802c-0420ac1f0671,TRAIL 9K,80.0,65.0,15.0,0.0
5d3add4a-b684-4773-b300-17b9ac1f0671,840000300003,DH LA MONTAÑA R. FINAL,dh-la-montatildea-r-final,2019-07-28,Realejos (Los),Santa Cruz de Tenerife,España,mdsports.eventos@gmail.com,685131284,,2019-07-28,,,,0.0,False,False,,5d3addd4-92a0-4479-85af-0170ac1f0671,FINAL,81.0,81.0,0.0,0.0
5d3b120f-7110-4520-8714-2f0dac1f0671,10000100754,Marxa Bonesvalls 2019,marxa-bonesvalls-2019,2019-10-20,Olesa de Bonesvalls,Barcelona,España,marxabonesvalls@gmail.com,,,2019-10-20,,,,1.0,False,False,,5dac44b1-dc54-4946-8f70-1edeac1f00b3,MB30,65.0,50.0,15.0,0.0
5d3b120f-7110-4520-8714-2f0dac1f0671,10000100754,Marxa Bonesvalls 2019,marxa-bonesvalls-2019,2019-10-20,Olesa de Bonesvalls,Barcelona,España,marxabonesvalls@gmail.com,,,2019-10-20,,,,1.0,False,False,,5dac44b8-e6d0-4ee9-83cb-4f22ac1f1f76,MB14,250.0,153.0,97.0,0.0
5d3b68af-629c-4ab5-abbe-5884ac1f0671,580000300038,QUIERO VIVIR SANO 2019,quiero-vivir-sano-2019,2019-08-04,Saltillo,Coahuila de Zaragoza,México,cronometraje@chronosport.mx,018444906373,,2019-08-04,25.4473513,-100.9890002,,0.0,False,True,,5d3b6ee6-b388-4cbc-87d6-5885ac1f0671,5K,247.0,143.0,103.0,1.0
5d3ba53f-da68-4d41-9604-031bac1f0671,1800000200012,Ночные роллеры-2019,--2019-38126,2019-07-27,Красноярск,Красноярский край,Russia,info@krasmarafon.ru,89029249998,,2019-07-28,56.026076700711,92.939810748498,,0.0,False,False,,,,0.0,0.0,0.0,0.0
5d3c922e-00a4-4a52-98df-4a8cac1f0671,580000100130,Triatlon TRILOCOS 2019,triatlon-trilocos-2019,2019-07-28,Saltillo,Coahuila de Zaragoza,México,CRONOMETRAJE@CHRONOSPORT.MX,8444906373,,2019-07-28,25.4267,-100.995,,0.0,False,True,,5d3c9292-37a8-4ef7-8da1-6cdfac1f0671,RUTA INDIVIDUAL,180.0,0.0,0.0,180.0
5d3c922e-00a4-4a52-98df-4a8cac1f0671,580000100130,Triatlon TRILOCOS 2019,triatlon-trilocos-2019,2019-07-28,Saltillo,Coahuila de Zaragoza,México,CRONOMETRAJE@CHRONOSPORT.MX,8444906373,,2019-07-28,25.4267,-100.995,,0.0,False,True,,5d3c9316-90e4-4f87-947f-6cddac1f0671,NOVATOS/INFANTILES,28.0,0.0,0.0,28.0
5d3c922e-00a4-4a52-98df-4a8cac1f0671,580000100130,Triatlon TRILOCOS 2019,triatlon-trilocos-2019,2019-07-28,Saltillo,Coahuila de Zaragoza,México,CRONOMETRAJE@CHRONOSPORT.MX,8444906373,,2019-07-28,25.4267,-100.995,,0.0,False,True,,5d3c9344-aa74-40ef-9279-4a8aac1f0671,MONTANA,15.0,0.0,0.0,15.0
