id,idRace,nom,slug,data,ciutat,provincia,pais,email,telefon,descripcio,data_final,latitude,longitude,reglament,num_fitxers,showRankings,active_photos,externalInscriptions
5d3acf92-6f08-4a5a-8593-016fac1f0671,860000200008,III PODOACTIVA MEDIEVAL TRAIL MONTEARAGON,iii-podoactiva-medieval-trail-montearagn,2019-09-14,Quicena,Huesca,España,contacto@sportevento.com,657555740,,2019-09-14,42.1485169,-0.360354899999,,3.0,True,False,
5d3add4a-b684-4773-b300-17b9ac1f0671,840000300003,DH LA MONTAÑA R. FINAL,dh-la-montatildea-r-final,2019-07-28,Realejos (Los),Santa Cruz de Tenerife,España,mdsports.eventos@gmail.com,685.13.12.84,,2019-07-28,,,,0.0,False,False,
5d3b120f-7110-4520-8714-2f0dac1f0671,10000100754,Marxa Bonesvalls 2019,marxa-bonesvalls-2019,2019-10-20,Olesa de Bonesvalls,Barcelona,España,marxabonesvalls@gmail.com,,,2019-10-20,,,,1.0,False,False,
5d3b68af-629c-4ab5-abbe-5884ac1f0671,580000300038,QUIERO VIVIR SANO 2019,quiero-vivir-sano-2019,2019-08-04,Saltillo,Coahuila de Zaragoza,México,cronometraje@chronosport.mx,01 (844) 490 6373,,2019-08-04,25.4473513,-100.9890002,,0.0,False,True,
5d3ba53f-da68-4d41-9604-031bac1f0671,1800000200012,Ночные роллеры-2019,--2019-38126,2019-07-27,Красноярск,Красноярский край,Russia,info@krasmarafon.ru,8-902-924-99-98,,2019-07-28,56.026076700711,92.939810748498,,0.0,False,False,
5d3c922e-00a4-4a52-98df-4a8cac1f0671,580000100130,Triatlon TRILOCOS 2019,triatlon-trilocos-2019,2019-07-28,Saltillo,Coahuila de Zaragoza,México,CRONOMETRAJE@CHRONOSPORT.MX,844 490 6373,,2019-07-28,25.4267,-100.995,,0.0,False,True,
5d3ca79b-a5b4-460c-b3ce-4a8dac1f0671,1130000300027,Reto Sierra 6ta Edicion,reto-sierra-6ta-edicion,2019-08-18,San Luis Potosí,San Luis Potosí,México,tutiempoatiempo@hotmail.com,,,2019-08-18,22.1565,-100.986,,0.0,True,False,
5d3dbeb0-e300-49e3-b08c-2769ac1f0671,380000100270,VIII SUBIDA AL MOLINO - VENTAS CON PEÑA AGUILERA,viii-subida-al-molino---ventas-con-petildea-aguilera-5942,2019-09-15,Ventas con Peña Aguilera (Las),Toledo,España,info@deporchip.com,,,2019-09-15,39.6116655,-4.228684899999,,0.0,False,False,
5d3eb2c4-a6bc-49d9-9496-2a6eac1f0671,1800000200013,Благотворительный забег «Достигая цели!»,--laquo-raquo-55290,2019-08-03,Красноярск,Красноярский край,Russia,info@krasmarafon.ru,,,2019-08-03,56.00649062704,92.872240538995,,0.0,False,False,
5d3efbe2-8860-4694-8539-2ddeac1f0671,620000200173,70è Circuit Ciclista Festes Sant Salvador,70e-circuit-ciclista-festes-sant-salvador,2019-08-07,Artà,Baleares (Illes),España,info@sportmaniacsbaleares.com,-,,2019-08-07,39.6946212,3.350928,,1.0,False,False,
5d3efce0-1a1c-4193-900e-4e83ac1f0671,20000100234,Volta a peu Tous 2019,volta-a-peu-tous-2019,2019-09-06,Tous,Valencia,España,cristobalnoupindaro@gmail.com,687825563,,2019-09-06,39.1386155,-0.5858878,,0.0,False,False,
5d3f0bf9-8774-4c6b-97a7-4e84ac1f0671,810000200012,XI Marcha BTT Concello de Monterrei,xi-marcha-btt-concello-de-monterrei,2019-09-01,Monterrei,Ourense,España,bttverin@gmail.com,+34664285016,,2019-09-01,41.951573,-7.496603899999,,0.0,False,False,
5d3f1637-b4f0-4c79-8b98-5f12ac1f0671,860000200009,XII Cross Urbano Villa de Biescas 2019,xii-cross-urbano-villa-de-biescas-2019,2019-08-15,Biescas,Huesca,España,contacto@sportevento.com,657555740,,2019-08-15,42.6285927,-0.321780799999,,1.0,True,False,
