municipio,provincia,comarca
Calatayud,Zaragoza,Comunidad de Calatayud
Paracuellos de la Ribera,Zaragoza,Comunidad de Calatayud
Añover de Tajo,Toledo,
Puebla de Almoradiel (La),Toledo,
Bufali,Valencia,
Soria,Soria,
Béjar,Salamanca,
Castellnovo,Castellón,
Coves de Vinromà (les),Castellón,la Plana Alta
Barracas,Castellón,
Sot de Ferrer,Castellón,
Alicante,Alicante,l'Alacantí
Caldes de Montbui,Barcelona,Vallès Oriental
Cigales,Valladolid,
Galdakao,Bizkaia,
Gondomar,Pontevedra,Vigo
Melilla,Melilla,
Aceuchal,Badajoz,
Épila,Zaragoza,Valdejalón
Sevilla,Sevilla,
Villena,Alicante,
Guadasequies,Valencia,
Paterna del Campo,Huelva,El Condado
Culla,Castellón,l'Alt Maestrat
Alcúdia,Baleares (Illes),Raiguer
Villafranca de los Caballeros,Toledo,
Vallirana,Barcelona,Baix Llobregat
Toledo,Toledo,
Cáceres,Cáceres,
San Román de Hornija,Valladolid,
Pobla de Mafumet (La),Tarragona,Tarragonès
Toén,Ourense,Ourense
Pravia,Asturias,
Llucmajor,Baleares (Illes),Migjorn
Pulgar,Toledo,
Benigánim,Valencia,
Calpe,Alicante,
Cantalejo,Segovia,
Balaguer,Lleida,Noguera
Osor,Girona,la Selva
Arnoia (A),Ourense,O Ribeiro
Porreres,Baleares (Illes),Pla de Mallorca
Valle de Matamoros,Badajoz,
León,León,
Zaragoza,Zaragoza,Zaragoza
Portugalete,Bizkaia,
Cuervo de Sevilla (El),Sevilla,
Santa Eulalia del Río,Baleares (Illes),Eivissa
Ciudad Rodrigo,Salamanca,
Muro de Alcoy,Alicante,
Cerdanyola del Vallès,Barcelona,Vallès Occidental
Valbuena de Duero,Valladolid,
Ciudad Real,Ciudad Real,
Iznájar,Córdoba,
Cerezo de Río Tirón,Burgos,
Arahal,Sevilla,
Monachil,Granada,Comarca de la Vega de Granada
Forallac,Girona,Baix Empordà
Olivares,Sevilla,
Rincón de la Victoria,Málaga,La Axarquía
Mayorga,Valladolid,
Terrassa,Barcelona,Vallès Occidental
Ponferrada,León,El Bierzo
Valle de Santa Ana,Badajoz,
Llanera,Asturias,
Mérida,Badajoz,
Mogente/Moixent,Valencia,
Tordesillas,Valladolid,
Oviedo,Asturias,
Sagunto/Sagunt,Valencia,
Inca,Baleares (Illes),Raiguer
Xàtiva,Valencia,
Corral de Almaguer,Toledo,
Mascaraque,Toledo,
Eivissa,Baleares (Illes),Eivissa
Getafe,Madrid,
Medina del Campo,Valladolid,
Lobón,Badajoz,
Silos (Los),Santa Cruz de Tenerife,
Tacoronte,Santa Cruz de Tenerife,
Altea,Alicante,
Zamora,Zamora,
Antequera,Málaga,Antequera
Esparragalejo,Badajoz,
Badajoz,Badajoz,
Garachico,Santa Cruz de Tenerife,
Benicasim,Castellón,la Plana Alta
Mungia,Bizkaia,
Córdoba,Córdoba,
Amposta,Tarragona,Montsià
Garrovilla (La),Badajoz,
Guadiana del Caudillo,Badajoz,
Moya,Las Palmas,
Arrecife,Las Palmas,
Eibar,Gipuzkoa,
Viso de San Juan (El),Toledo,
Arroyo de la Encomienda,Valladolid,
Mairena del Aljarafe,Sevilla,
Carbonero el Mayor,Segovia,
Cazorla,Jaén,
Ceutá,Murcia,Área Metropolitana de Murcia
Turleque,Toledo,
Torreblanca,Castellón,la Plana Alta
Aldea de San Nicolás (La),Las Palmas,
Valdelacalzada,Badajoz,
Buenaventura,Toledo,
Torrejón de la Calzada,Madrid,
Ribamontán al Mar,Cantabria,
Consuegra,Toledo,
Jaén,Jaén,
Dueñas,Palencia,
Alquerías del Niño Perdido,Castellón,
Villacañas,Toledo,
Pueblonuevo del Guadiana,Badajoz,
Málaga,Málaga,Málaga-Costa del Sol
Sant Cugat del Vallès,Barcelona,Vallès Occidental
Castelló d'Empúries,Girona,Alt Empordà
Castell-Platja d'Aro,Girona,Baix Empordà
Torroella de Montgrí,Girona,Baix Empordà
Vall d'Uixó (la),Castellón,
Venta de Baños,Palencia,
Son Servera,Baleares (Illes),Llevant
Ourense,Ourense,Ourense
Cobisa,Toledo,
Villanúa,Huesca,La Jacetania
Ciudad Real - San Martín de Montalbán,Ciudad Real,
Sacedón,Guadalajara,
Guía de Isora,Santa Cruz de Tenerife,
Useras/Useres (les),Castellón,
Don Benito,Badajoz,
Borriol,Castellón,la Plana Alta
Cambil,Jaén,
Llutxent,Valencia,
Cercedilla,Madrid,
Foz,Lugo,A Mariña Central
Yébenes (Los),Toledo,
Arroyomolinos,Madrid,
Pájara,Las Palmas,
Fuentemolinos,Burgos,
Yaiza,Las Palmas,
Santa Marta de Tormes,Salamanca,
Parra (La),Badajoz,
Viladamat,Girona,Alt Empordà
Valladolid,Valladolid,
Vall de Boí (La),Lleida,Alta Ribagorça
Martos,Jaén,
Robledo de Chavela,Madrid,
Zafra,Badajoz,
Toro,Zamora,
Tías,Las Palmas,
Cabanes,Castellón,la Plana Alta
Mora,Toledo,
Espartinas,Sevilla,
Arico,Santa Cruz de Tenerife,
Zierbena,Bizkaia,
Villamanrique de Tajo,Madrid,
Onda,Castellón,
Navalagamella,Madrid,
Leganés,Madrid,
Marratxí,Baleares (Illes),Raiguer
Sena,Huesca,Los Monegros
Andújar,Jaén,
Aldeadávila de la Ribera,Salamanca,
Benalmádena,Málaga,Costa del Sol Occidental
Agost,Alicante,l'Alacantí
Santa Cruz de la Palma,Santa Cruz de Tenerife,
Mancha Real,Jaén,
Muskiz,Bizkaia,
Manlleu,Barcelona,Osona
Madrid - Galapagar,Madrid,
Vila-seca,Tarragona,Tarragonès
Vilanova d'Alcolea,Castellón,la Plana Alta
Fresno el Viejo,Valladolid,
Tábara,Zamora,
Astillero (El),Cantabria,
Cambrils,Tarragona,Baix Camp
Tauste,Zaragoza,Cinco Villas
Simancas,Valladolid,
Viveiro,Lugo,A Mariña Occidental
Hornachos,Badajoz,
Aljaraque,Huelva,Comarca Metropolitana de Huelva
Olèrdola,Barcelona,Alt Penedès
Mallén,Zaragoza,Campo de Borja
Palencia,Palencia,
San Bartolomé de Tirajana,Las Palmas,
Laredo,Cantabria,
Amorebieta-Etxano,Bizkaia,
Santander,Cantabria,
Valle de Trápaga-Trapagaran,Bizkaia,
Portbou,Girona,Alt Empordà
Oliva (La),Las Palmas,
Griñón,Madrid,
Sanlúcar de Barrameda,Cádiz,Costa Noroeste
Port de la Selva (El),Girona,Alt Empordà
Colera,Girona,Alt Empordà
Pontevedra,Pontevedra,Pontevedra
Collado Villalba,Madrid,
Gozón,Asturias,
Banyoles,Girona,Pla de l'Estany
Villarejo de Salvanés,Madrid,
Vilanova i la Geltrú,Barcelona,Garraf
Jaén - Córdoba,Jaén,
Vila-real,Castellón,
Zas,A Coruña,Terra de Soneira
Puerto del Rosario,Las Palmas,
Serón,Almería,Valle del Almanzora
Castrillón,Asturias,
Santanyá,Baleares (Illes),
Altafulla,Tarragona,Tarragonès
Albolote,Granada,Comarca de la Vega de Granada
Siero,Asturias,
Tabernas,Almería,
Rioja,Almería,
Cabezón de Pisuerga,Valladolid,
Torrelavega,Cantabria,
Santiago del Teide,Santa Cruz de Tenerife,
Murcia,Murcia,Área Metropolitana de Murcia
Motril,Granada,Comarca de la Costa Granadina
Villanueva del Pardillo,Madrid,
Ejea de los Caballeros,Zaragoza,Cinco Villas
Algaida,Baleares (Illes),Pla de Mallorca
Almeráa,Almería,
Utiel,Valencia,
Alcalá la Real,Jaén,
Nájar,Almería,
Puebla de Don Fadrique,Granada,Comarca de Huéscar
Avilés,Asturias,
Lorca,Murcia,Alto Guadalentín
Aguilar de Campoo,Palencia,
Chillón,Ciudad Real,
Santillana del Mar,Cantabria,
Reocán,Cantabria,
San Leonardo de Yagüe,Soria,
Tuineje,Las Palmas,
Noja,Cantabria,
Reinosa,Cantabria,
Benicarló,Castellón,el Baix Maestrat
Medina de Pomar,Burgos,
Castro-Urdiales,Cantabria,
Arévalo,Ávila,
Burgos,Burgos,
Logroño,La Rioja,
Puigcerdà,Girona,Cerdanya
Alcázares (Los),Murcia,Campo de Cartagena y Mar Menor
Betanzos,A Coruña,Betanzos
Viator,Almería,
Reus,Tarragona,Baix Camp
Magaz de Pisuerga,Palencia,
Talayuelas,Cuenca,
Barrios (Los),Cádiz,Campo de Gibraltar
San Andrés del Rabanedo,León,
Polinyà,Barcelona,Vallès Occidental
Daláas,Almería,
Alcobendas,Madrid,
Yuncler,Toledo,
Haro,La Rioja,
Villaviciosa,Asturias,
Teruel,Teruel,Comunidad de Teruel
Calera y Chozas,Toledo,
Borges Blanques (Les),Lleida,Garrigues
Roquetas de Mar,Almería,
Teguise,Las Palmas,
Fuentespina,Burgos,
Nerja,Málaga,La Axarquía
Vendrell (El),Tarragona,Baix Penedès
Navaleno,Soria,
Carboneras,Almería,
Villajoyosa,Alicante,
Poio,Pontevedra,Pontevedra
Donostia-San Sebastián,Gipuzkoa,
Gualchos,Granada,Comarca de la Costa Granadina
Fresno de Torote,Madrid,
Betancuria,Las Palmas,
Verín,Ourense,Verín
Menàrguens,Lleida,Noguera
Fraga,Huesca,Bajo Cinca / Baix Cinca
Berlanga de Duero,Soria,
Baza,Granada,Comarca de Baza
Pulpá,Almería,
Barbadás,Ourense,Ourense
Ceuta,Ceuta,
Huércal de Almeráa,Almería,
Molina de Segura,Murcia,Vega Media del Segura
Tres Cantos,Madrid,
Tui,Pontevedra,O Baixo Miño
Palazuelos de Eresma,Segovia,
Paüls,Tarragona,Baix Ebre
Almenar de Soria,Soria,
Úbeda,Jaén,
Sant Gregori,Girona,Gironès
Talamanca de Jarama,Madrid,
Laviana,Asturias,
Baiona,Pontevedra,Vigo
Breña Alta,Santa Cruz de Tenerife,
Canet d'Adri,Girona,Gironès
Vera,Almería,
Tájola,Almería,
Montmeló,Barcelona,Vallès Oriental
Camarena,Toledo,
Caminomorisco - Ladrillar,Cáceres,
Tales,Castellón,
Cenes de la Vega,Granada,Comarca de la Vega de Granada
Torrefarrera,Lleida,Segrià
Santa Maráa del Páramo,León,
Torrejoncillo,Cáceres,
Huétor Tájar,Granada,Comarca de Loja
Palamós,Girona,Baix Empordà
Jerez de la Frontera,Cádiz,Campiña de Jerez
Quintela de Leirado,Ourense,Terra da Celanova
Cájar,Granada,Comarca de la Vega de Granada
Puebla de la Calzada,Badajoz,
Llanos de Aridane (Los),Santa Cruz de Tenerife,
Vallada,Valencia,
Aitona,Lleida,Segrià
Magallón,Zaragoza,Campo de Borja
Puente Genil,Córdoba,
Llorenç del Penedès,Tarragona,Baix Penedès
Fuencaliente de la Palma,Santa Cruz de Tenerife,
Alfarrasí,Valencia,
Candamo,Asturias,
Aldea del Fresno,Madrid,
Lobios,Ourense,A Baixa Limia
Fines,Almería,Valle del Almanzora
Orotava (La),Santa Cruz de Tenerife,
Villaluenga del Rosario,Cádiz,Sierra de Cádiz
Calamocha,Teruel,
Telde,Las Palmas,
Villanueva del Fresno,Badajoz,
Sierro,Almería,Valle del Almanzora
Villa de Mazo,Santa Cruz de Tenerife,
Navalmoral de la Mata,Cáceres,
Montaverner,Valencia,
Cabrales,Asturias,
Arbolá,Tarragona,
San Sebastián de la Gomera,Santa Cruz de Tenerife,
Calasparra,Murcia,Noroeste
Chelva,Valencia,La Serranía
Alqueria de la Comtessa (l'),Valencia,
Sóller,Baleares (Illes),Serra de Tramuntana
Huelma,Jaén,
Serra,Valencia,
Riaño,León,
Torre del Campo,Jaén,
Agramunt,Lleida,Urgell
Miralcamp,Lleida,Pla d'Urgell
Chinchón,Madrid,
Gallardos (Los),Almería,
Haría,Las Palmas,
Montemayor de Pililla,Valladolid,
Ametlla de Mar (L'),Tarragona,Baix Ebre
Algar de Palancia,Valencia,
Torredonjimeno,Jaén,
Riaza,Segovia,
Ciempozuelos,Madrid,
Catí,Castellón,l'Alt Maestrat
Laudio,Araba/Álava,
Vistabella del Maestrazgo,Castellón,l'Alt Maestrat
Güámar,Santa Cruz de Tenerife,
Salou,Tarragona,Tarragonès
Torre de Esteban Hambrán (La),Toledo,
Palma de Gandía,Valencia,
Ramales de la Victoria,Cantabria,
Galapagar,Madrid,
Grove (O),Pontevedra,O Salnés
Montalbán,Teruel,
Astorga,León,
Burguillos de Toledo,Toledo,
Trujillo,Cáceres,
Massalfassar,Valencia,
Zaratán,Valladolid,
Villava/Atarrabia,Navarra,Iruñerria
Jaca,Huesca,La Jacetania
Geldo,Castellón,
Miraflores de la Sierra,Madrid,
Berja,Almería,
Olula del Río,Almería,Valle del Almanzora
Huéscar,Granada,Comarca de Huéscar
Palau-solità i Plegamans,Barcelona,Vallès Occidental
Puntagorda,Santa Cruz de Tenerife,
Labastida,Araba/Álava,Arabako Errioxa
Alburquerque,Badajoz,
Novelé/Novetlè,Valencia,
Caldearenas,Huesca,Alto Gállego
Pont de Suert (El),Lleida,Alta Ribagorça
Teror,Las Palmas,
Ocaña,Toledo,
Nava del Rey,Valladolid,
Sora,Barcelona,Osona
Alcarràs,Lleida,Segrià
Anna,Valencia,
Güeñes,Bizkaia,
Vilafamés,Castellón,la Plana Alta
Alcoy,Alicante,
Huelva,Huelva,Comarca Metropolitana de Huelva
Garganta (La),Cáceres,
Cuevas del Almanzora,Almería,
Portezuelo,Cáceres,
Bande,Ourense,A Baixa Limia
Vinaròs,Castellón,el Baix Maestrat
Candeleda,Ávila,
Velilla del Río Carrión,Palencia,
Llançà,Girona,Alt Empordà
Cirat,Castellón,
Torreorgaz,Cáceres,
Benifairó de les Valls,Valencia,
Guadamur,Toledo,
Vélez-Málaga,Málaga,La Axarquía
Santibáñez de la Peña,Palencia,
Brozas,Cáceres,
Masllorenç,Tarragona,Baix Penedès
Pobla de Lillet (La),Barcelona,Berguedà
Quintanilla de Onésimo,Valladolid,
Cadalso,Cáceres,
Benegiles,Zamora,
Gironella,Barcelona,Berguedà
Malpartida de Cáceres,Cáceres,
Cuevas del Valle,Ávila,
Valoria la Buena,Valladolid,
Torredembarra,Tarragona,Tarragonès
Sabiñánigo,Huesca,Alto Gállego
Quismondo,Toledo,
Llosa (la),Castellón,
Villatobas,Toledo,
Madridejos,Toledo,
Luarca,Asturias,
Chilches,Castellón,
San Bartolomé de las Abiertas,Toledo,
Fernán Caballero,Ciudad Real,
Segorbe,Castellón,
Navaconcejo,Cáceres,
Robla (La),León,
Villalazán,Zamora,
Recas,Toledo,
Biar,Alicante,
Laguna de Duero,Valladolid,
Olías del Rey,Toledo,
Capafonts,Tarragona,Baix Camp
Breña Baja,Santa Cruz de Tenerife,
Santurtzi,Bizkaia,
Villaviciosa de Odón,Madrid,
Puebla de Montalbán (La),Toledo,
Piñor,Ourense,O Carballiño
Calella,Barcelona,Maresme
Adrada (La),Ávila,
Nogueira de Ramuin,Ourense,Ourense
Santa Coloma de Farners,Girona,la Selva
Navas del Marqués (Las),Ávila,
Pedrajas de San Esteban,Valladolid,
Burganes de Valverde,Zamora,
Badalona,Barcelona,Barcelonès
Esporles,Baleares (Illes),Serra de Tramuntana
Muro,Baleares (Illes),Pla de Mallorca
Massamagrell,Valencia,
Tossa de Mar,Girona,la Selva
Grazalema,Cádiz,Sierra de Cádiz
Arandilla,Burgos,
Íscar,Valladolid,
Ugena,Toledo,
Mijares,Ávila,
Blanes,Girona,la Selva
Agüero,Huesca,Hoya de Huesca / Plana de Uesca
San Lorenzo de El Escorial,Madrid,
Allariz,Ourense,Allariz-Maceda
Villa de Don Fadrique (La),Toledo,
Almagro,Ciudad Real,
Sant Boi de Llobregat,Barcelona,Baix Llobregat
Herrera de Pisuerga,Palencia,
Oia,Pontevedra,O Baixo Miño
Benidorm,Alicante,
Pollença,Baleares (Illes),Serra de Tramuntana
Estepona,Málaga,Costa del Sol Occidental
Sardón de Duero,Valladolid,
Almunia de Doña Godina (La),Zaragoza,Valdejalón
Zuia,Araba/Álava,Gorbeialdea
Cuerva,Toledo,
Salamanca,Salamanca,
Riosa,Asturias,
Casas del Monte,Cáceres,
Tivissa,Tarragona,Ribera d'Ebre
Parrillas,Toledo,
Carrión de los Condes,Palencia,
Paracuellos de Jarama,Madrid,
Vall d'Alba,Castellón,la Plana Alta
Puebla de Sancho Pérez,Badajoz,
Allán,Navarra,
Pedrosa del Rey,Valladolid,
Burgo de Osma-Ciudad de Osma,Soria,
Villarramiel,Palencia,
Aranda de Duero,Burgos,
Valdemoro,Madrid,
Pereiro de Aguiar (O),Ourense,Ourense
Villar del Rey,Badajoz,
Valenzuela de Calatrava,Ciudad Real,
Bisbal d'Empordà (La),Girona,Baix Empordà
Merca (A),Ourense,Terra da Celanova
Basauri,Bizkaia,
Ingenio,Las Palmas,
Talayuela,Cáceres,
Saldaña,Palencia,
Alcolea de Calatrava,Ciudad Real,
Sant Antoni de Vilamajor,Barcelona,Vallès Oriental
Benissoda,Valencia,
Peñafiel,Valladolid,
Puebla del Río (La),Sevilla,
Cassà de la Selva,Girona,Gironès
Torrelles de Foix,Barcelona,Alt Penedès
Jarandilla de la Vera,Cáceres,
Albalat dels Tarongers,Valencia,
Sant Climent de Llobregat,Barcelona,Baix Llobregat
Camarzana de Tera,Zamora,
Used,Zaragoza,Campo de Daroca
Yuncos,Toledo,
Villarta de San Juan,Ciudad Real,
San Cristóbal de La Laguna,Santa Cruz de Tenerife,
Pozo Alcón,Jaén,
Castellet i la Gornal,Barcelona,Alt Penedès
Bedia,Bizkaia,
Baños de Molgas,Ourense,Allariz-Maceda
Escalona,Toledo,
Montecorto,Málaga,Serranía de Ronda
Alcaudete de la Jara,Toledo,
Santa Maria de Martorelles,Barcelona,Vallès Oriental
Bobadilla del Campo,Valladolid,
Caminomorisco,Cáceres,
Castrelo de Miño,Ourense,O Ribeiro
Villanueva de la Cañada,Madrid,
Puertollano,Ciudad Real,
Navalmorales (Los),Toledo,
Mirandilla,Badajoz,
Hoyo de Manzanares,Madrid,
Cubas de la Sagra,Madrid,
Alberca (La),Salamanca,
Polán,Toledo,
Hervás,Cáceres,
Lora del Río,Sevilla,
San Sebastián de los Reyes,Madrid,
Nambroca,Toledo,
Carranque,Toledo,
Segovia,Segovia,
Sigüenza,Guadalajara,
Castellote,Teruel,Maestrazgo
Azuqueca de Henares,Guadalajara,
Viana de Cega,Valladolid,
Mieres,Asturias,
Berga,Barcelona,Berguedà
Bedmar y Garcáez,Jaén,
Rueda,Valladolid,
Linares,Jaén,
Daroca,Zaragoza,Campo de Daroca
Medina de Rioseco,Valladolid,
Valle de Hecho,Huesca,La Jacetania
Valdemanco,Madrid,
Alovera,Guadalajara,
Borges del Camp (Les),Tarragona,Baix Camp
Sandiás,Ourense,A Limia
Numancia de la Sagra,Toledo,
Guadalupe,Cáceres,
Valdemorillo,Madrid,
Carballiño (O),Ourense,O Carballiño
Malpica de Tajo,Toledo,
Castañar de Ibor,Cáceres,
Arroyomolinos,Cáceres,
Morcán,Asturias,
Sant Julià de Cerdanyola,Barcelona,Berguedà
Paderne de Allariz,Ourense,Allariz-Maceda
Cebreros,Ávila,
Tollos,Alicante,
Jerte,Cáceres,
Santovenia de Pisuerga,Valladolid,
Quintanar de la Orden,Toledo,
Alcalá de la Selva,Teruel,Gúdar-Javalambre
Carolina (La),Jaén,
Sos del Rey Católico,Zaragoza,Cinco Villas
Torres,Jaén,
Valls,Tarragona,Alt Camp
Eljas,Cáceres,
Orgaz,Toledo,
Cistérniga,Valladolid,
Bronchales,Teruel,Sierra de Albarracín
Valmojado,Toledo,
Montánchez,Cáceres,
San Pedro de Gaállos,Segovia,
Cuéllar,Segovia,
Coria del Río,Sevilla,
Mont-roig del Camp,Tarragona,Baix Camp
Monistrol de Montserrat,Barcelona,Bages
Ribadavia,Ourense,O Ribeiro
Zarzuela del Pinar,Segovia,
Escalona del Prado,Segovia,
Macotera,Salamanca,
Amurrio,Araba/Álava,
Villar del Pedroso,Cáceres,
Carpio,Valladolid,
Malpartida,Salamanca,
Aielo de Malferit,Valencia,
Otos,Valencia,
Paterna,Valencia,
Cornellà de Llobregat,Barcelona,Baix Llobregat
Beas de Segura,Jaén,
Castellbisbal,Barcelona,Vallès Occidental
Brihuega,Guadalajara,
Teresa,Castellón,
Canet d'En Berenguer,Valencia,
Benavites,Valencia,
Hostalric,Girona,la Selva
Campo de Mirra,Alicante,
Castelló de Rugat,Valencia,
Valencia de Don Juan,León,
Serradilla,Cáceres,
Cheste,Valencia,
Mos,Pontevedra,Vigo
Barlovento,Santa Cruz de Tenerife,
Cocentaina,Alicante,
San Fernando,Cádiz,Bahía de Cádiz
Rosal (O),Pontevedra,O Baixo Miño
Albocàsser,Castellón,l'Alt Maestrat
Somiedo,Asturias,
Montornes del Valles,Barcelona,Vallès Oriental
Gaibiel,Castellón,
Onil,Alicante,
Vicedo (O),Lugo,A Mariña Occidental
Vilajuïga,Girona,Alt Empordà
Luna,Zaragoza,Cinco Villas
Navajas,Castellón,
Alboraya,Valencia,
Godella,Valencia,
Bèlgida,Valencia,
Atzeneta d'Albaida,Valencia,
Agullent,Valencia,
Algimia de Alfara,Valencia,
Quart de les Valls,Valencia,
Quartell,Valencia,
Faura,Valencia,
Villanueva de Duero,Valladolid,
Casas de Millán,Cáceres,
Caudete,Albacete,
Visiedo,Teruel,Comunidad de Teruel
Jódar,Jaén,
Navaluenga,Ávila,
Viladecans,Barcelona,Baix Llobregat
Vega de San Mateo,Las Palmas,
Piedrabuena,Ciudad Real,
Petrés,Valencia,
Olleria (l'),Valencia,
Albaida,Valencia,
Ajofrín,Toledo,
Sástago,Zaragoza,Ribera Baja del Ebro
Lomoviejo,Valladolid,
Roca de la Sierra (La),Badajoz,
Pegalajar,Jaén,
Sierra Engarcerán,Castellón,la Plana Alta
Vall de Almonacid,Castellón,
Cerecinos del Carrizal,Zamora,
Riotuerto,Cantabria,
Cabezas de San Juan (Las),Sevilla,
Rivas-Vaciamadrid,Madrid,
Cádiz,Cádiz,Bahía de Cádiz
Carrión de los Céspedes,Sevilla,
Cudillero,Asturias,
Tudela,Navarra,Ribera / Erribera
Alfafar,Valencia,l'Horta Sud
Marchena,Sevilla,
Talavera la Real,Badajoz,
Belvás de la Jara,Toledo,
Lagartera,Toledo,
Bordils,Girona,Gironès
Sant Feliu de Llobregat,Barcelona,Baix Llobregat
Calonge,Girona,Baix Empordà
Salomó,Tarragona,Tarragonès
Ampolla (L'),Tarragona,Baix Ebre
Deltebre,Tarragona,Baix Ebre
Vilaller,Lleida,Alta Ribagorça
Lloret de Mar,Girona,la Selva
Cervelló,Barcelona,Baix Llobregat
Puigpunyent,Baleares (Illes),Serra de Tramuntana
Vilches,Jaén,
Cacabelos,León,El Bierzo
Palomar (el),Valencia,
Azagra,Navarra,Erriberagoiena / Ribera Alta
Torrent,Valencia,l'Horta Sud
Palafolls,Barcelona,Maresme
Ibros,Jaén,
Camuñas,Toledo,
Aller,Asturias,
Morera de Montsant (La),Tarragona,Priorat
Quatretonda,Valencia,
Pobla del Duc (la),Valencia,
Salem,Valencia,
Bellús,Valencia,
Sariñena,Huesca,Los Monegros
Gandia,Valencia,
Polanco,Cantabria,
Santa Olalla,Toledo,
Xinzo de Limia,Ourense,A Limia
Faramontanos de Tábara,Zamora,
Coca,Segovia,
Caudiel,Castellón,
Archena,Murcia,Valle de Ricote
Dos Hermanas,Sevilla,
Olot,Girona,Garrotxa
Figueres,Girona,Alt Empordà
Sedaví,Valencia,l'Horta Sud
Eliana (l'),Valencia,
Siete Aguas,Valencia,
Benaguasil,Valencia,
Alcúdia (l'),Valencia,
Cullera,Valencia,
Ayamonte,Huelva,Costa Occidental
Morón de la Frontera,Sevilla,
Santa Coloma de Cervelló,Barcelona,Baix Llobregat
Ronda,Málaga,Serranía de Ronda
Albacete,Albacete,
Alp,Girona,Cerdanya
Alforja,Tarragona,Baix Camp
Roses,Girona,Alt Empordà
Nigrán,Pontevedra,Vigo
Ávila,Ávila,
Jalance,Valencia,
Colmenar Viejo,Madrid,
Esplugues de Llobregat,Barcelona,Baix Llobregat
Cervatos de la Cueza,Palencia,
Peguerinos,Ávila,
Avinyonet del Penedès,Barcelona,Alt Penedès
Alcalá de Henares,Madrid,
Fréscano,Zaragoza,Campo de Borja
Ventas de Retamosa (Las),Toledo,
Benavides,León,
Barberà del Vallès,Barcelona,Vallès Occidental
Guijo de Galisteo,Cáceres,
Bescanó,Girona,Gironès
Almonacid de Toledo,Toledo,
Gorliz,Bizkaia,
Sober,Lugo,Terra de Lemos
Cantimpalos,Segovia,
Casillas,Ávila,
Derio,Bizkaia,
Tamajón,Guadalajara,
Beneixama,Alicante,
